Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
1.00000000000000e+00	(9.48943139052132e+01dB,-4.36098618466685e+00°)
1.02329299228075e+00	(9.48929372811083e+01dB,-4.47876816515007e+00°)
1.04712854805090e+00	(9.48914955290374e+01dB,-4.59887667201036e+00°)
1.07151930523761e+00	(9.48899856574190e+01dB,-4.72137197123512e+00°)
1.09647819614318e+00	(9.48884045365166e+01dB,-4.84631535384843e+00°)
1.12201845430196e+00	(9.48867488924387e+01dB,-4.97376915166674e+00°)
1.14815362149688e+00	(9.48850153008329e+01dB,-5.10379675243783e+00°)
1.17489755493953e+00	(9.48832001803470e+01dB,-5.23646261432545e+00°)
1.20226443461741e+00	(9.48812997858298e+01dB,-5.37183227967984e+00°)
1.23026877081238e+00	(9.48793102012522e+01dB,-5.50997238797621e+00°)
1.25892541179417e+00	(9.48772273323289e+01dB,-5.65095068786447e+00°)
1.28824955169313e+00	(9.48750468988912e+01dB,-5.79483604826153e+00°)
1.31825673855641e+00	(9.48727644269255e+01dB,-5.94169846833453e+00°)
1.34896288259165e+00	(9.48703752403111e+01dB,-6.09160908631851e+00°)
1.38038426460288e+00	(9.48678744522674e+01dB,-6.24464018705813e+00°)
1.41253754462275e+00	(9.48652569564562e+01dB,-6.40086520813172e+00°)
1.44543977074593e+00	(9.48625174177616e+01dB,-6.56035874445373e+00°)
1.47910838816821e+00	(9.48596502627368e+01dB,-6.72319655121984e+00°)
1.51356124843621e+00	(9.48566496697117e+01dB,-6.88945554506398e+00°)
1.54881661891248e+00	(9.48535095585378e+01dB,-7.05921380325233e+00°)
1.58489319246111e+00	(9.48502235799932e+01dB,-7.23255056079581e+00°)
1.62181009735893e+00	(9.48467851048201e+01dB,-7.40954620528213e+00°)
1.65958690743756e+00	(9.48431872123912e+01dB,-7.59028226926756e+00°)
1.69824365246174e+00	(9.48394226790347e+01dB,-7.77484142005079e+00°)
1.73780082874937e+00	(9.48354839659540e+01dB,-7.96330744660113e+00°)
1.77827941003892e+00	(9.48313632067826e+01dB,-8.15576524346368e+00°)
1.81970085860998e+00	(9.48270521948013e+01dB,-8.35230079143833e+00°)
1.86208713666287e+00	(9.48225423697343e+01dB,-8.55300113474576e+00°)
1.90546071796325e+00	(9.48178248042052e+01dB,-8.75795435449847e+00°)
1.94984459975804e+00	(9.48128901898195e+01dB,-8.96724953819951e+00°)
1.99526231496888e+00	(9.48077288228925e+01dB,-9.18097674502121e+00°)
2.04173794466953e+00	(9.48023305898160e+01dB,-9.39922696655421e+00°)
2.08929613085404e+00	(9.47966849521001e+01dB,-9.62209208280605e+00°)
2.13796208950223e+00	(9.47907809310697e+01dB,-9.84966481307154e+00°)
2.18776162394955e+00	(9.47846070922550e+01dB,-1.00820386614440e+01°)
2.23872113856834e+00	(9.47781515295028e+01dB,-1.03193078565946e+01°)
2.29086765276777e+00	(9.47714018487889e+01dB,-1.05615672855168e+01°)
2.34422881531992e+00	(9.47643451518087e+01dB,-1.08089124208916e+01°)
